Date,Overflow_tables,Overflow_seats
2015-01-01,39,21
2015-01-02,31,22
2015-01-03,28,9
2015-01-04,8,0
2015-01-05,18,4
2015-01-06,29,16
2015-01-07,22,6
2015-01-08,44,19
2015-01-09,18,1
2015-01-10,36,15
2015-01-11,23,0
2015-01-12,17,2
2015-01-13,18,2
2015-01-14,28,16
2015-01-15,25,5
2015-01-16,33,10
2015-01-17,16,1
2015-01-18,21,1
2015-01-19,27,13
2015-01-20,18,10
2015-01-21,23,0
2015-01-22,30,16
2015-01-23,23,0
2015-01-24,32,18
2015-01-25,12,0
2015-01-26,22,6
2015-01-27,35,9
2015-01-28,16,6
2015-01-29,17,10
2015-01-30,21,1
2015-01-31,27,11
2015-02-01,51,27
2015-02-02,21,6
2015-02-03,35,16
2015-02-04,19,4
2015-02-05,29,9
2015-02-06,32,11
2015-02-07,26,3
2015-02-08,12,0
2015-02-09,26,7
2015-02-10,26,5
2015-02-11,44,12
2015-02-12,22,2
2015-02-13,35,13
2015-02-14,26,14
2015-02-15,21,8
2015-02-16,19,13
2015-02-17,15,6
2015-02-18,28,5
2015-02-19,19,9
2015-02-20,38,16
2015-02-21,17,1
2015-02-22,6,0
2015-02-23,22,11
2015-02-24,21,8
2015-02-25,23,13
2015-02-26,36,13
2015-02-27,48,27
2015-02-28,36,7
2015-03-01,2,0
2015-03-02,32,15
2015-03-03,16,8
2015-03-04,29,14
2015-03-05,35,17
2015-03-06,24,9
2015-03-07,22,3
2015-03-08,23,12
2015-03-09,22,11
2015-03-10,23,13
2015-03-11,31,18
2015-03-12,15,4
2015-03-13,50,20
2015-03-14,18,5
2015-03-15,19,8
2015-03-16,39,12
2015-03-17,47,15
2015-03-18,27,9
2015-03-19,29,4
2015-03-20,32,18
2015-03-21,32,10
2015-03-22,0,0
2015-03-23,16,7
2015-03-24,21,6
2015-03-25,17,5
2015-03-26,29,8
2015-03-27,42,19
2015-03-28,25,2
2015-03-29,18,3
2015-03-30,13,3
2015-03-31,29,14
2015-04-01,23,11
2015-04-02,40,19
2015-04-03,24,12
2015-04-04,34,12
2015-04-05,15,8
2015-04-06,32,14
2015-04-07,24,5
2015-04-08,22,3
2015-04-09,16,0
2015-04-10,21,7
2015-04-11,11,7
2015-04-12,14,2
2015-04-13,35,15
2015-04-14,18,13
2015-04-15,42,15
2015-04-16,19,2
2015-04-17,36,16
2015-04-18,36,7
2015-04-19,7,0
2015-04-20,31,10
2015-04-21,21,7
2015-04-22,20,1
2015-04-23,31,14
2015-04-24,33,13
2015-04-25,20,6
2015-04-26,8,0
2015-04-27,25,1
2015-04-28,19,1
2015-04-29,18,4
2015-04-30,31,23
2015-05-01,38,16
2015-05-02,34,0
2015-05-03,13,0
2015-05-04,25,4
2015-05-05,12,0
2015-05-06,26,7
2015-05-07,28,11
2015-05-08,42,24
2015-05-09,24,2
2015-05-10,27,14
2015-05-11,27,8
2015-05-12,23,4
2015-05-13,27,5
2015-05-14,38,26
2015-05-15,62,30
2015-05-16,29,4
2015-05-17,12,2
2015-05-18,21,2
2015-05-19,20,13
2015-05-20,25,5
2015-05-21,26,6
2015-05-22,37,23
2015-05-23,26,3
2015-05-24,18,0
2015-05-25,15,9
2015-05-26,14,0
2015-05-27,20,0
2015-05-28,22,7
2015-05-29,38,18
2015-05-30,31,5
2015-05-31,17,0
2015-06-01,50,12
2015-06-02,26,12
2015-06-03,18,11
2015-06-04,24,13
2015-06-05,36,10
2015-06-06,28,8
2015-06-07,12,2
2015-06-08,27,15
2015-06-09,33,6
2015-06-10,23,14
2015-06-11,30,20
2015-06-12,22,1
2015-06-13,30,7
2015-06-14,15,0
2015-06-15,44,11
2015-06-16,27,6
2015-06-17,17,11
2015-06-18,22,6
2015-06-19,41,8
2015-06-20,15,2
2015-06-21,10,7
2015-06-22,25,10
2015-06-23,16,1
2015-06-24,27,10
2015-06-25,20,7
2015-06-26,29,5
2015-06-27,20,8
2015-06-28,7,0
2015-06-29,21,1
2015-06-30,14,7
2015-07-01,20,12
2015-07-02,33,14
2015-07-03,62,22
2015-07-04,81,55
2015-07-05,7,0
2015-07-06,27,15
2015-07-07,27,10
2015-07-08,25,9
2015-07-09,30,14
2015-07-10,21,2
2015-07-11,19,4
2015-07-12,25,8
2015-07-13,14,5
2015-07-14,18,4
2015-07-15,33,7
2015-07-16,21,7
2015-07-17,43,17
2015-07-18,17,0
2015-07-19,21,10
2015-07-20,29,13
2015-07-21,15,6
2015-07-22,35,8
2015-07-23,17,10
2015-07-24,46,28
2015-07-25,29,5
2015-07-26,11,0
2015-07-27,13,7
2015-07-28,28,9
2015-07-29,9,4
2015-07-30,30,13
2015-07-31,25,1
2015-08-01,35,3
2015-08-02,15,0
2015-08-03,17,0
2015-08-04,15,3
2015-08-05,28,3
2015-08-06,31,2
2015-08-07,34,10
2015-08-08,44,11
2015-08-09,16,0
2015-08-10,19,2
2015-08-11,20,9
2015-08-12,29,4
2015-08-13,18,5
2015-08-14,45,16
2015-08-15,16,0
2015-08-16,26,4
2015-08-17,25,12
2015-08-18,22,8
2015-08-19,20,8
2015-08-20,14,4
2015-08-21,42,20
2015-08-22,22,6
2015-08-23,11,0
2015-08-24,11,1
2015-08-25,17,6
2015-08-26,26,5
2015-08-27,24,10
2015-08-28,30,8
2015-08-29,13,4
2015-08-30,13,0
2015-08-31,20,6
2015-09-01,27,12
2015-09-02,16,8
2015-09-03,36,7
2015-09-04,37,23
2015-09-05,22,8
2015-09-06,18,3
2015-09-07,29,4
2015-09-08,12,5
2015-09-09,35,19
2015-09-10,37,6
2015-09-11,43,14
2015-09-12,38,21
2015-09-13,13,1
2015-09-14,24,12
2015-09-15,29,3
2015-09-16,27,9
2015-09-17,29,9
2015-09-18,45,18
2015-09-19,28,5
2015-09-20,9,2
2015-09-21,23,9
2015-09-22,22,0
2015-09-23,24,1
2015-09-24,0,0
2015-09-25,0,0
2015-09-26,24,3
2015-09-27,32,8
2015-09-28,17,4
2015-09-29,35,9
2015-09-30,20,4
2015-10-01,53,40
2015-10-02,14,10
2015-10-03,22,1
2015-10-04,7,4
2015-10-05,0,0
2015-10-06,21,9
2015-10-07,31,1
2015-10-08,11,6
2015-10-09,28,11
2015-10-10,26,5
2015-10-11,15,2
2015-10-12,0,0
2015-10-13,23,3
2015-10-14,24,8
2015-10-15,85,58
2015-10-16,38,5
2015-10-17,20,10
2015-10-18,16,9
2015-10-19,0,0
2015-10-20,36,21
2015-10-21,18,9
2015-10-22,21,8
2015-10-23,31,18
2015-10-24,31,11
2015-10-25,10,3
2015-10-26,0,0
2015-10-27,12,0
2015-10-28,5,0
2015-10-29,24,3
2015-10-30,31,21
2015-10-31,38,9
2015-11-01,19,6
2015-11-02,22,9
2015-11-03,9,3
2015-11-04,12,6
2015-11-05,21,4
2015-11-06,42,18
2015-11-07,34,22
2015-11-08,22,9
2015-11-09,20,9
2015-11-10,27,6
2015-11-11,19,6
2015-11-12,34,10
2015-11-13,18,6
2015-11-14,26,3
2015-11-15,12,0
2015-11-16,22,9
2015-11-17,19,5
2015-11-18,13,8
2015-11-19,35,20
2015-11-20,37,6
2015-11-21,19,4
2015-11-22,2,0
2015-11-23,16,13
2015-11-24,21,2
2015-11-25,29,5
2015-11-26,92,65
2015-11-27,92,72
2015-11-28,17,0
2015-11-29,14,4
2015-11-30,30,10
2015-12-01,24,13
2015-12-02,25,16
2015-12-03,33,13
2015-12-04,48,17
2015-12-05,30,6
2015-12-06,34,12
2015-12-07,28,6
2015-12-08,12,7
2015-12-09,41,4
2015-12-10,13,5
2015-12-11,38,2
2015-12-12,14,0
2015-12-13,27,3
2015-12-14,22,15
2015-12-15,32,15
2015-12-16,20,12
2015-12-17,13,0
2015-12-18,45,23
2015-12-19,21,3
2015-12-20,16,7
2015-12-21,20,6
2015-12-22,15,1
2015-12-23,23,4
2015-12-24,12,0
2015-12-25,0,0
2015-12-26,4,0
2015-12-27,6,3
2015-12-28,7,5
2015-12-29,6,2
2015-12-30,8,2
2015-12-31,53,21
